token,frequency
ANEMONE,6
ANNETTE,6
ANTIOCH,6
AROMAS,6
ARVIN,6
AYALA,6
BCHECH,6
BEAUMONT,6
BEECHWOOD,6
BELTRAN,6
BENEDICTINE,6
BENTONVILLE,6
BILL,6
BLACKMON,6
BLAKE,6
BLOSSOM,6
BOMMARITO,6
BONAIRE,6
BONNER,6
BUENA,6
BURKBURNETT,6
C305,6
CAJINA,6
CALDWELL,6
CAMINITO,6
CAMPBELL,6
CANO,6
CARMICHAEL,6
CAROLYN,6
CARPENTER,6
CARRIAGE,6
CASTILLO,6
CEBALLOS,6
CERRITOS,6
CHARLESTON,6
CLI,6
CLOAKEY,6
CONSUELO,6
CORBIN,6
CORINA,6
CORTE,6
CRANBERRY,6
DAIRY,6
DANIA,6
DARRIN,6
DAVIDSON,6
DAYRO,6
DELAND,6
DELORES,6
DENHART,6
DENNISON,6
DEVAN,6
DEVONSHIRE,6
DICKINSON,6
DIDIER,6
DOWNEY,6
EDELWEISS,6
EDWARDO,6
ENRIQUE,6
ERICE,6
ESSIG,6
EUCLID,6
EVERALL,6
FERN,6
FLORENCE,6
FLORID,6
FLOWER,6
FOOTE,6
FOOTHILL,6
FOUR,6
FREEPORT,6
GACKENBACH,6
GALT,6
GAVILAN,6
GERALD,6
GOLDENROD,6
GRANT,6
GREENACRES,6
GREER,6
GREGG,6
GUERRA,6
HALL,6
HAMMEL,6
HARTUNG,6
HELIO,6
HERNADEZ,6
HESTER,6
HIGHLAND,6
HOLLY,6
HORTENSE,6
HUMEDA,6
HURLBURT,6
IMPORT,6
INDEPENDENCE,6
INDIO,6
IRA,6
IRWINDALE,6
ISMAEL,6
IVAN,6
JASMINE,6
JEANNIE,6
JUMILLA,6
KARLESHA,6
KENNEDY,6
KHAN,6
KOJABABIAN,6
LAFAYETTE,6
LANCE,6
LAURA,6
LEDEZMA,6
LEMON,6
LIGHTS,6
LILAC,6
LISA,6
LIVIA,6
LODUCA,6
LOWELL,6
LURIA,6
LUTHER,6
LYTLE,6
MACARIO,6
MADRID,6
MALKIEWICZ,6
MANDY,6
MANORVILLE,6
MANVEL,6
MARCELO,6
MARISELA,6
MARKHAM,6
MASTERS,6
MAUMELLE,6
MAYA,6
MAYWOOD,6
MCNEILL,6
MERCEDES,6
MEYER,6
MICKEY,6
MIDDLETON,6
MIKE,6
MONTES,6
MONTOYA,6
MORRO,6
MOUND,6
MOUNT,6
MULLINSIVIE,6
MULLIS,6
NAPA,6
NEVIS,6
NEWTON,6
NICKELBERRY,6
NIPOMO,6
OCALA,6
OCOEE,6
ODOM,6
OLGA,6
ORANGEVALE,6
OSBORNE,6
OZEN,6
PADGETT,6
PALLETT,6
PALMETTO,6
PANORAMA,6
PEEK,6
PONDER,6
PRADO,6
PROVIDENCE,6
PT,6
PUTTING,6
RAFAEL,6
RASMUSSEN,6
RDG,6
REY,6
RIM,6
RIPON,6
ROANOKE,6
ROHNERT,6
ROSAM,6
ROSETON,6
ROSSIE,6
RUSSELL,6
SALTILLO,6
SAMMARRO,6
SANDERS,6
SANFORD,6
SARASOTA,6
SAVANNAH,6
SEELY,6
SEXTON,6
SHERYL,6
SINOR,6
SOL,6
SONORA,6
SPRINGDALE,6
SPRINGLEAF,6
SQUIRREL,6
STACY,6
STAFFORDSHIRE,6
STANLEY,6
STAPLES,6
STAPLETON,6
STRONG,6
SUGAR,6
SYLMAR,6
TALLAHASSEE,6
TARIS,6
TARZANA,6
TC,6
TUERS,6
TULIP,6
VANDYKE,6
VE,6
VERGARA,6
VERO,6
VINTNERS,6
WASCO,6
WATAUGA,6
WEBSTER,6
WESTON,6
WESTPOINT,6
WILHELMSON,6
WILMA,6
WYNDAM,6
YANNELIS,6
ZALDIVAR,6
1026,5
10445,5
106TH,5
10748,5
1081,5
10971,5
1098,5
10997,5
10TH,5
1112,5
11245,5
11351,5
11548,5
1201,5
1208,5
1217,5
122,5
123,5
12450,5
13,5
1308,5
1375,5
1387,5
14092,5
1416,5
1422,5
1482,5
149TH,5
1507,5
150706,5
1515,5
1576,5
1590,5
15TH,5
160,5
1602,5
1621,5
16502,5
1662,5
16701,5
1701,5
1707,5
171,5
1732,5
1753,5
1806,5
18329,5
18761,5
18960,5
1902,5
1910,5
19140,5
1917,5
1923,5
1925,5
1963,5
1965,5
1966,5
1972,5
1985,5
207,5
2093553180,5
2095758226,5
2097575435,5
2103315718,5
21833868,5
2204,5
22397,5
2242,5
22949203,5
23012,5
23047555,5
234TH,5
2355,5
23605017,5
2361,5
23805088,5
23963910,5
24055276,5
24268282,5
24316,5
24508033,5
24572587,5
24895922,5
25212918,5
25407736,5
2550,5
2554,5
25653978,5
26071,5
26432468,5
26509566,5
27047858,5
27131114,5
2728,5
28,5
28TH,5
2910,5
2916,5
293150,5
29448,5
3052805277,5
3053238404,5
3054346340,5
3087,5
3118,5
313,5
3130,5
319,5
32084,5
32110,5
32114,5
32129,5
32174,5
32207,5
32258,5
324,5
32407,5
32439,5
32440,5
32459,5
32565,5
32577,5
32701,5
32807,5
32825,5
32837,5
33010,5
33025,5
33071,5
33081,5
33174,5
33403,5
33510,5
33598,5
33612,5
33635,5
33743,5
33755,5
33765,5
33770,5
33868,5
33872,5
3388,5
33884,5
33915,5
33918,5
33967,5
3410,5
34102,5
34142,5
34210,5
34217,5
34288,5
34293,5
3433,5
34606,5
34759,5
34946,5
3599,5
36TH,5
37107,5
372,5
3843,5
38735,5
3974,5
40808,5
417,5
41812,5
4216,5
424,5
45,5
48,5
5013282083,5
5013616115,5
5013842260,5
503,5
507,5
5201,5
5221,5
5274,5
55TH,5
5618387746,5
5626873663,5
5656,5
5690,5
56TH,5
5719,5
5800,5
581385,5
5885,5
603,5
6154,5
6185,5
619,5
6506427273,5
6507,5
6516,5
674,5
681,5
68TH,5
7025,5
709,5
7142724004,5
7170,5
71701,5
71765,5
72118,5
72130,5
7274325263,5
72745,5
72756,5
72947,5
7359,5
75019,5
75023,5
75034,5
75050,5
75086,5
75180,5
75181,5
75232,5
754,5
75416,5
76134,5
76148,5
77036,5
77077,5
77095,5
7721216387,5
7728,5
77346,5
77469,5
77502,5
78245,5
78418,5
78505,5
7851,5
78596,5
78660,5
78683,5
78709,5
78840,5
79720,5
808,5
8118,5
8135051674,5
8140,5
8172355771,5
817432,5
8175245503,5
8186158823,5
8296,5
83RD,5
845,5
8505237364,5
8735,5
89,5
9,5
90006,5
90046,5
9031008524,5
90507,5
90650,5
90732,5
90807,5
9093333164,5
91342,5
91356,5
91377,5
91409,5
91606,5
9163584067,5
9165227750,5
91708,5
91744,5
91769,5
91773,5
91790,5
91945,5
91950,5
92010,5
92084,5
92115,5
92128,5
92203,5
92334,5
92346,5
92374,5
92394,5
92399,5
92503,5
92509,5
92517,5
92530,5
9254421871,5
92555,5
92557,5
92585,5
92688,5
92842,5
92880,5
93003,5
93010,5
93062,5
93063,5
93203,5
93308,5
93442,5
93451,5
93458,5
9365288550,5
93720,5
93722,5
9401220526,5
9411526585,5
9413822476,5
94509,5
94549,5
94568,5
94571,5
94583,5
94611,5
94612,5
94621,5
94928,5
94949,5
95004,5
95148,5
9541172076,5
95476,5
95610,5
95626,5
95677,5
95691,5
95824,5
96,5
96001,5
9708,5
9721053320,5
9727748516,5
ABURTO,5
ACACIA,5
ACE,5
ALLAMANDA,5
ALLMON,5
ALOHA,5
AMEZCUA,5
ANASTASIA,5
ANGELLE,5
APARMENT,5
ARDMORE,5
ATMORE,5
AUGUST,5
BACCARAT,5
BALCH,5
BANANA,5
BANNING,5
BAYLOR,5
BIRCHLEAF,5
BLUFFS,5
BO,5
BOYD,5
BOYER,5
BRALY,5
BRESTLE,5
BRIARWOOD,5
BRIONES,5
BUNKER,5
CABOT,5
CAIF,5
CAIFORNIA,5
CALIORNIA,5
CALLE,5
CAMARILLO,5
CAMDEN,5
CARLSON,5
CATALINA,5
CECELIA,5
CECIL,5
CELEBRATION,5
CHELSEA,5
CHURCH,5
CLEAR,5
CLOVIS,5
COCHRAN,5
COLFORD,5
CONVERSE,5
CORONADO,5
DA,5
DANVILLE,5
DAWN,5
DEJESUS,5
DELAYNE,5
DODGE,5
DOMINGUEZ,5
DORADO,5
DORIA,5
DRYWOOD,5
E108,5
EASY,5
ELDORADO,5
ERIC,5
ERICH,5
ERNESTINE,5
EVANGELISTA,5
FERGUSON,5
FIERROMADRID,5
FLAGLER,5
FLORIA,5
FOLSOM,5
FRAUENHOFER,5
GABRIEL,5
GAVREL,5
GILL,5
GOLDEN,5
GRACEVILLE,5
GRAHAM,5
GRAPEVINE,5
GUILLERMO,5
GUIOMAR,5
HALLANDALE,5
HANFORD,5
HAPPY,5
HARMONY,5
HARRELSON,5
HENRY,5
HIBISCUS,5
HILLTOP,5
HOLMES,5
HOOLEY,5
IMMOKALEE,5
INDIA,5
JADESTONE,5
KINGSBURY,5
LAKESIDE,5
LARHONDA,5
LEAGUE,5
LINE,5
LOR,5
LORETTA,5
LYNN,5
MANNY,5
MANZO,5
MATADOR,5
MATTIE,5
MCGHEE,5
MCGREW,5
MELBOURNE,5
MELONY,5
MENDY,5
METRIC,5
MIDDLEBROOK,5
MINNA,5
MIRAGE,5
MOGAN,5
MONICA,5
MONTANA,5
NAOMI,5
NETTLETON,5
NEWBURY,5
NEWFOUND,5
NOKOMIS,5
NORMANDIE,5
OAKBRIDGE,5
ORCAS,5
OXFORD,5
PACIFIC,5
PALOMA,5
PASE,5
PAT,5
PAULINE,5
PECAN,5
PEGASUS,5
PENROSE,5
PIETZ,5
PITCHER,5
PLZ,5
POLLARD,5
POPPY,5
POWER,5
PRINCE,5
PULIDO,5
REBECCA,5
REDONDO,5
REEF,5
REGALADO,5
RENEE,5
RICK,5
RIDGEWOOD,5
RIFFEY,5
ROMO,5
RUBIO,5
SAIZ,5
SARA,5
SCHOONER,5
SHADI,5
SHERRY,5
SILENT,5
SINA,5
SKILES,5
SNEED,5
SOGOL,5
SOMERSET,5
SONGBIRD,5
SONOMA,5
STAN,5
STATION,5
STERLING,5
STREAMVIEW,5
SUGARBUSH,5
SUMMERSWEET,5
SYDNEY,5
TALQUIN,5
TERRANCE,5
THAYER,5
TIDAL,5
TOWER,5
TRAIL,5
TURBEVILLE,5
TUSCANY,5
TWILIGHT,5
U,5
UPLAND,5
URBINO,5
VALERIE,5
VALRICO,5
VANPELT,5
VILLAMONTE,5
VIVONA,5
WACO,5
WAKENE,5
WARRIOR,5
WEGA,5
WHATLEY,5
WILCOX,5
WOODFOREST,5
WORSHAM,5
YSELA,5
YULEE,5
022216418,4
022944337,4
023141981,4
023665462,4
023962132,4
024017227,4
024149595,4
025726977,4
025799518,4
026616329,4
026806788,4
027012011,4
027094855,4
10128,4
1016,4
10209,4
10305,4
10404,4
1061,4
10950A,4
110088,4
1101,4
1107,4
11389,4
1171,4
11943,4
120,4
12330,4
12339,4
13415,4
13551,4
137,4
138083,4
1381,4
140,4
1428,4
14325,4
14356,4
14403,4
14474,4
1468,4
149,4
15031,4
15040,4
151,4
1532,4
154TH,4
15915,4
1603,4
1607,4
16238,4
168,4
16TH,4
17041,4
1717,4
17235,4
1726,4
1730,4
17333,4
17402,4
1760,4
177,4
1823,4
1828,4
1835,4
18480,4
1850,4
1852,4
19,4
19000101,4
1904,4
1906,4
1919,4
1942,4
1945,4
1949,4
1956,4
1962,4
1969,4
19691,4
1973,4
1989,4
2004,4
202,4
203,4
20649,4
20909,4
2094162850,4
2106858864,4
211,4
21407783,4
21426504,4
21447688,4
21528240,4
2159,4
2160,4
21672,4
21688429,4
21771983,4
21787862,4
21868386,4
21ST,4
22008342,4
22100234,4
2214,4
22162,4
22196778,4
221ST,4
22202042,4
22286009,4
22431637,4
22492433,4
225,4
22517646,4
22630931,4
22810696,4
2327,4
2359,4
2376,4
23789377,4
23931317,4
2394525627,4
24,4
2412,4
24120842,4
24230419,4
24275742,4
245441,4
248,4
2502,4
25209955,4
25296321,4
25317183,4
254,4
2585,4
2606,4
2609,4
26267471,4
26270736,4
2637,4
26417101,4
26490062,4
26558839,4
26616329,4
26680213,4
26835867,4
26976,4
26984558,4
2700,4
27029789,4
27050197,4
27110,4
27166396,4
27191139,4
2801,4
2810,4
2814065537,4
2834,4
2900,4
2952,4
2959,4
29972,4
3016,4
30218,4
3045,4
3052433515,4
307,4
3077,4
3123,4
3150,4
320,4
32011,4
3212,4
32130,4
32162,4
32173,4
3218307134,4
32206,4
32221,4
32443,4
32606,4
32621,4
32707,4
3271,4
32724,4
32810,4
32835,4
32903,4
32911,4
32967,4
33016,4
33023,4
33032,4
3306,4
33075,4
33170,4
33173,4
33176,4
33319,4
33332,4
33433,4
33543,4
33572,4
33605,4
33647,4
33733,4
33771,4
33815,4
33903,4
33904,4
33913,4
33914,4
33928,4
33949,4
33970,4
33993,4
34209,4
34290,4
3445,4
34609,4
34611,4
34637,4
34668,4
34691,4
34695,4
34711,4
34747,4
34758,4
34983,4
350,4
3525,4
36,4
3641,4
36463,4
3675,4
36933,4
381,4
3852,4
3861062240,4
3862036504,4
3924,4
39327,4
395,4
3981,4
3J,4
4029,4
4050,4
4074518854,4
4087,4
410,4
4124,4
4131,4
4135,4
42774,4
4365,4
4366,4
4407,4
441,4
4431,4
494163,4
49TH,4
4E,4
51,4
5106,4
5118,4
5134,4
5254,4
52840,4
5300,4
5301375775,4
53RD,4
540,4
55,4
551,4
5515,4
5593166412,4
5597000374,4
5598443618,4
5617,4
5618678433,4
5624,4
5624378163,4
5626724563,4
5627780644,4
5631,4
578,4
5853,4
5911,4
5TH,4
608,4
6102,4
6114,4
612,4
613,4
614,4
6193562852,4
62,4
626,4
6343,4
6367,4
6529,4
660,4
6648,4
6805,4
6818,4
6915,4
6978,4
72022,4
72023,4
7207,4
72433,4
72653,4
7272028226,4
7273537606,4
730127,4
7372,4
73RD,4
750,4
75022,4
75029,4
7505,4
75054,4
7509,4
751,4
75134,4
75149,4
75160,4
75166,4
75189,4
75211,4
75241,4
7526,4
75TH,4
76070,4
76084,4
76104,4
76120,4
76177,4
76259,4
77070,4
7708,4
77090,4
77347,4
77355,4
77391,4
77501,4
77575,4
778,4
780,4
78244,4
78412,4
78415,4
78539,4
78609,4
78728,4
79336,4
79902,4
79912,4
79924,4
79928,4
7996,4
8013,4
8018,4
8031,4
8138037844,4
814,4
8172773386,4
8173280015,4
8175655171,4
8181138852,4
8183301553,4
8184251647,4
8185145178,4
8188068527,4
830,4
8300,4
8316711338,4
8318050306,4
8502544021,4
8508435125,4
8572,4
860105,4
861,4
8621,4
8632818342,4
8634370456,4
8701555510,4
8706781735,4
8711,4
8769,4
8963,4
90027,4
90220,4
90251,4
9035086126,4
9043813828,4
9047185773,4
90608,4
90630,4
90631,4
90660,4
90731,4
90733,4
9093713141,4
9097842131,4
91209,4
91303,4
91307,4
91320,4
91327,4
91384,4
9163283070,4
9166100372,4
9166644768,4
9167023284,4
91702,4
91729,4
91731,4
91912,4
92056,4
92173,4
92234,4
92427,4
92505,4
92572,4
92591,4
92844,4
92877,4
93060,4
93065,4
93105,4
93230,4
93535,4
93552,4
9367467808,4
93902,4
94014,4
94109,4
94115,4
9412100655,4
9413824313,4
94505,4
94560,4
9457,4
946,4
9463,4
94931,4
9493618808,4
95023,4
95350,4
95453,4
9545527148,4
9547082385,4
9547108536,4
95630,4
95667,4
95696,4
95742,4
95757,4
95826,4
95831,4
95833,4
95991,4
9625,4
9711,4
9725105245,4
9908,4
9999,4
A107,4
ADVANTAGE,4
AGRA,4
ALAMOS,4
ALFREDO,4
ALIFORNIA,4
ALLNE,4
AMALIA,4
AMBLESIDE,4
ANASTACIO,4
ANDRADE,4
ANDREA,4
ANDREY,4
ANSELMO,4
APARTMNT,4
APOLLO,4
APRICOT,4
ARANDA,4
ARCH,4
ARENDT,4
ARIZONA,4
ARLINGTON,4
AT,4
AVALOS,4
BAKKE,4
BAL,4
BELLEAIR,4
BERNADETTE,4
BEYER,4
BIRCHSTONE,4
BND,4
BONVENTRE,4
BOUTTE,4
BRADEN,4
BRANCH,4
BRANCHWOOD,4
BRANDY,4
BREAUX,4
BRIBIESCA,4
BRIGHTEN,4
BROOKSVILLE,4
BROWNLEE,4
BY,4
CAA,4
CALF,4
CALVIN,4
CALVO,4
CAMPUS,4
CAPITAN,4
CAROLINA,4
CARVACHO,4
CASTAIC,4
CELIA,4
CHAPARRAL,4
CHASE,4
CHERRY,4
CHIPLEY,4
CLARA,4
CLAUD,4
CLIF,4
CLIFORNIA,4
COCONUT,4
COLLEGE,4
COLONIAL,4
CONLON,4
COOLEY,4
COPPELL,4
CORDOBA,4
COROY,4
CORT,4
CREEKSIDE,4
CRISTAL,4
CRNELISSEN,4
CROWELL,4
CUSHMAN,4
CUTLER,4
CYCLOPS,4
DAISY,4
DAIVD,4
DALDUMYAN,4
DAM,4
DARDEN,4
DECKER,4
DELAFIELD,4
DIANA,4
DIDIRE,4
DIMAS,4
DISCOVERY,4
DON,4
DONOHOE,4
DORIANA,4
DRIFTWOOD,4
DRINKWATER,4
DRY,4
DUBLIN,4
DUNE,4
E58,4
ED,4
EDDIE,4
EDDY,4
EDINBURG,4
ELEANOR,4
ELGERS,4
ELIEZER,4
ELLEN,4
ELMORE,4
EMERALD,4
EMERY,4
EMILY,4
EMPIRE,4
ENCINAL,4
ENGLEWOOD,4
ERICKSON,4
ESPLANADE,4
ESSEX,4
ESTERO,4
FAIRWAYS,4
FEL,4
FIELDS,4
FLORA,4
FOUNTAIN,4
FRANK,4
FRESE,4
FRONT,4
FT,4
GABLES,4
GACRIA,4
GALLINO,4
GEOREG,4
GERALDINE,4
GINA,4
GIROUARD,4
GODINEZ,4
GONDOLA,4
GRACE,4
GRANGER,4
GREENPOINTE,4
GULFPORT,4
GWENDOLYN,4
HABRA,4
HAMBURG,4
HANNA,4
HARBOUR,4
HASLET,4
HEALDSBURG,4
HEATHERS,4
HERBERT,4
HOLIDAY,4
HOME,4
HORACE,4
HORIZON,4
HOUCK,4
HUMPHREYS,4
HYUN,4
INDIALANTIC,4
INGLEWOOD,4
INVERNESS,4
ITAI,4
JAY,4
JENKINS,4
JENNY,4
JERADN,4
JESES,4
JIM,4
JOYCE,4
KIRKSAGE,4
KIT,4
KOBZEFF,4
LANCELOT,4
LAVON,4
LAWNDALE,4
LAWNVIEW,4
LEENA,4
LENORE,4
LESSER,4
LETTERIO,4
LEVELLAND,4
LIBERTY,4
LILY,4
LIVE,4
LOG,4
LUFKIN,4
MACON,4
MALONE,4
MANIC,4
MANOR,4
MARILYN,4
MATTHEW,4
MAURILIO,4
MC,4
MCCURRY,4
MCGEE,4
MELENDEZ,4
MELTON,4
MENDENHALL,4
MILLY,4
MLK,4
MORNING,4
MORRISTON,4
MRAY,4
MUIR,4
MULKEY,4
MYRA,4
NARANJA,4
NEMO,4
NICHOLSON,4
NICK,4
NORTHEAST,4
NORWALK,4
NOVATO,4
OBED,4
OFFIE,4
OJHN,4
OJSEPH,4
OLIVE,4
ORIOLE,4
ORMO,4
ORTIZ,4
PANCHO,4
PANOLA,4
PAO,4
PATSY,4
PEANUT,4
PEGGY,4
PFLUGERVILLE,4
PHEASANT,4
PICO,4
PIEL,4
PINETREE,4
PLAYA,4
POT,4
PRK,4
RADIO,4
RAINWOOD,4
RIGOBERTO,4
RIVO,4
ROACH,4
ROEHR,4
ROGRE,4
ROMOLAND,4
ROWLETT,4
ROYSE,4
RUANO,4
RUBY,4
SAFETY,4
SAGINAW,4
SANDSTONE,4
SANDY,4
SANTEE,4
SAPULVEDA,4
SAWGRASS,4
SEA,4
SEASONS,4
SEGUIN,4
SEYMORU,4
SHELTONDALE,4
SHULTS,4
SIENNA,4
SKYLINE,4
SLAUSON,4
SOMERVILLE,4
SOTOAGULIAR,4
SPINDLETOP,4
SR,4
STACEY,4
STAGECOACH,4
STEBBINS,4
STEET,4
STEPHEN,4
STT,4
SUSANNAH,4
SWOOPING,4
TAMP,4
TARINITO,4
TERREL,4
TESS,4
THOM,4
THOMSA,4
THURSTON,4
TICY,4
TIERRA,4
TORY,4
TRANT,4
TRENTINO,4
TRLR,4
TULARE,4
VENUS,4
VETERANS,4
VICKI,4
VICTORIA,4
VIRGIL,4
VIRGINIA,4
VISALIA,4
VONNA,4
WAGON,4
WALSH,4
WARNER,4
WESLACO,4
WILLIFORD,4
WINDAM,4
WINDCREST,4
WINDMILL,4
WINDSOR,4
WOLF,4
WOODARD,4
WOODLANDS,4
WOODSIDE,4
WOODWARD,4
YORKSHIRE,4
YSIDRO,4
YUCAIPA,4
ZACA,4
ZEPEDA,4
021589060,3
022008342,3
022157858,3
022392157,3
022459689,3
022468936,3
022477845,3
022551375,3
022570875,3
022961888,3
023105905,3
023184656,3
023666872,3
024382454,3
024770844,3
025350277,3
025499740,3
025859531,3
026070201,3
026125060,3
026342984,3
026485111,3
027111743,3
027167247,3
1004,3
10169,3
10245,3
1025,3
10265,3
1028,3
10341,3
1046,3
10501,3
10851,3
10912,3
110,3
1100,3
11023,3
1115,3
1123,3
1130,3
1158,3
1169,3
11820,3
11931,3
1227,3
12433,3
12643,3
126743,3
1269,3
12741,3
12758,3
130,3
1301,3
1303,3
130634,3
13072,3
13192,3
13199,3
13562,3
14065,3
1411,3
1412,3
14122,3
1413,3
14239,3
14269,3
1456,3
146TH,3
1521,3
152ND,3
154,3
154972,3
15632,3
157,3
1586,3
1604,3
16124,3
16374,3
16470,3
1657,3
1708,3
1714,3
17206,3
17352,3
1754,3
17703,3
17902,3
1812,3
1817,3
1818,3
18208,3
1826,3
1848,3
185,3
1870,3
1913,3
19231,3
1937,3
194,3
19400,3
1944,3
1950,3
19560303,3
19602,3
1968,3
1971,3
1975,3
1984,3
198TH,3
2001,3
20131,3
20420,3
2091050813,3
2092070623,3
2092628604,3
2094751222,3
2096452254,3
2098048242,3
2101431617,3
2102212106,3
2102707158,3
2104054523,3
2105256172,3
2115,3
21402494,3
21405900,3
2142654876,3
2144244343,3
21442444,3
2144462056,3
2145,3
2146,3
2146023457,3
21540361,3
21589060,3
21609352,3
21646381,3
21728108,3
21756,3
21781556,3
21808647,3
21847473,3
219,3
21923663,3
21979395,3
221,3
22106691,3
22154206,3
22154708,3
22157858,3
22244,3
22245320,3
22253749,3
22407451,3
22468936,3
22562,3
22564036,3
22613395,3
22726002,3
22756397,3
228,3
22845201,3
22952,3
23024,3
2303,3
23031960,3
23053397,3
23072005,3
23125111,3
23223572,3
23346360,3
234,3
23457706,3
23666872,3
23730674,3
23777361,3
23828662,3
23877,3
2392663518,3
2396701742,3
2397086688,3
23971584,3
2397864466,3
2398051238,3
240,3
2402,3
2405,3
241,3
24194556,3
242,3
24279712,3
2428,3
24301093,3
2433A,3
24370640,3
24384689,3
24426737,3
24447556,3
24521376,3
24963381,3
25012,3
25120554,3
2513,3
25146663,3
25164380,3
25186772,3
25221315,3
25223,3
25342583,3
25358007,3
25506419,3
25536496,3
256TH,3
25722,3
25726977,3
25759178,3
25805497,3
25826202,3
25863315,3
25930462,3
26189770,3
26291095,3
2630,3
26306674,3
26325511,3
26394931,3
26469483,3
26523214,3
26591921,3
26620650,3
26826120,3
26841318,3
2697,3
27,3
27094855,3
27111743,3
27167247,3
27171,3
27406,3
2777,3
2791,3
2812,3
2813346502,3
2814668175,3
2815,3
2816230402,3
28164,3
2818571835,3
2913,3
2930,3
2A,3
302,3
3050,3
3051066804,3
3052013610,3
3052472018,3
3053355636,3
3053578583,3
3053708007,3
30561,3
3056323430,3
3057324428,3
3058875467,3
3104,3
31ST,3
32,3
32003,3
32041,3
3211758324,3
3214,3
32145,3
32164,3
32211,3
32246,3
3231783057,3
3233285735,3
3234821723,3
32404,3
3243,3
32456,3
32572,3
32668,3
32703,3
32714,3
32721,3
32728,3
32757,3
32814,3
32828,3
32909,3
32935,3
32976,3
33012,3
33026,3
33061,3
33073,3
33114,3
33154,3
33155,3
33177,3
33186,3
33193,3
33196,3
33312,3
33324,3
33335,3
33426,3
33470,3
3353,3
33569,3
3361,3
33614,3
33705,3
33714,3
33764,3
33779,3
33809,3
339,3
33920,3
33947,3
33954,3
33972,3
33990,3
34104,3
3411,3
34119,3
34221,3
34265,3
3432,3
34689,3
34713,3
34737,3
34744,3
34956,3
3500,3
3521352022,3
3521741457,3
3522385852,3
3524560118,3
3525474002,3
3525620543,3
3528057870,3
3543,3
358,3
3611364430,3
3612675724,3
3638,3
365,3
3651,3
36898,3
3728,3
3734,3
37882,3
3806,3
3824,3
3846,3
3864184644,3
3865254041,3
39,3
39650,3
39TH,3
40,3
40436,3
4071101264,3
4071570352,3
4072501346,3
4073,3
4073160638,3
4073505600,3
4073523377,3
4074413508,3
4075248136,3
4075334712,3
4075436676,3
4076435208,3
4077280062,3
4078022563,3
4078801443,3
4085074276,3
4086017806,3
4087456432,3
4093521608,3
4096485338,3
41005,3
4103,3
4155560510,3
4157447625,3
4242,3
4243263352,3
4243450551,3
4246888343,3
4247181374,3
42ND,3
435,3
43931,3
4429,3
4433,3
4444,3
4470,3
4509,3
4542,3
45761,3
46453,3
4702,3
4719,3
4741,3
4792513772,3
4794262137,3
4795138255,3
4796051106,3
4797614154,3
4798486482,3
47TH,3
48305,3
49,3
5014158203,3
5014521213,3
5015286475,3
5016258832,3
5058,3
508,3
5108664163,3
5123053115,3
5124403510,3
5125203484,3
5126450082,3
5127358462,3
513,3
5204,3
5215,3
529,3
53,3
5301666288,3
5301708082,3
5304147104,3
5305203635,3
5307030455,3
5308356576,3
5313,3
5390,3
543301,3
5485,3
5488,3
555,3
5591104874,3
5593163361,3
5594512035,3
5597171742,3
5601,3
5612710274,3
5613123837,3
5613868580,3
5615652036,3
5617624625,3
5618176238,3
5618757355,3
5621183576,3
5624477622,3
5624624450,3
5626,3
5628666281,3
5635,3
5707,3
580,3
5803,3
593,3
5991,3
59C102,3
6002,3
605,3
609,3
610,3
6193311727,3
6194062753,3
6196064033,3
6196737872,3
6197655847,3
6198208856,3
6198678457,3
620,3
6237,3
6263665708,3
6267261553,3
628,3
62ND,3
6313,3
645,3
6501488587,3
6553,3
6611011416,3
6612042550,3
6612345061,3
6614030348,3
6614681845,3
6616254076,3
6617684336,3
6617878210,3
6618536118,3
671,3
6734,3
676,3
6833,3
6975,3
7001,3
7071674138,3
7072812358,3
7075237470,3
7075353716,3
7076855020,3
7078308222,3
7132477524,3
7134077772,3
7134631182,3
7135356505,3
7136205208,3
7137050710,3
7138461462,3
7142257567,3
7144861415,3
7145600257,3
7147440260,3
71646,3
71854,3
71949,3
72065,3
72079,3
7214,3
72422,3
72703,3
7271845364,3
7273002456,3
7273504511,3
72739,3
72761,3
7276408455,3
7277135485,3
729,3
72917,3
73265,3
7438,3
7485,3
75001,3
75002,3
75015,3
75069,3
75070,3
75076,3
75123,3
75146,3
75253,3
75785,3
75846,3
75951,3
76008,3
76009,3
7601130780,3
7601831443,3
76023,3
7602578003,3
7602628310,3
7602678138,3
7603022207,3
7603486713,3
76040,3
7605100141,3
76052,3
7605206327,3
7605774476,3
76180,3
76401,3
7704,3
77058,3
7723806178,3
7726125885,3
7726514072,3
77393,3
77478,3
77705,3
78003,3
78046,3
78219,3
78237,3
78577,3
7858,3
78616,3
78617,3
78640,3
7904,3
79105,3
79373,3
79424,3
79849,3
79927,3
7H,3
802,3
8054263532,3
8056104464,3
8056500358,3
8056582725,3
8057687762,3
8063357616,3
8068141544,3
8131077531,3
8132824505,3
8136613824,3
8136745215,3
8136800364,3
8137500203,3
8173654405,3
8174351006,3
8175232700,3
8175460762,3
8177427852,3
8178176221,3
8178610113,3
8181260874,3
8182835343,3
8183513878,3
8184007275,3
8184061234,3
8184064282,3
8184654313,3
8184728875,3
8185573251,3
8185640888,3
8185778466,3
8186318755,3
8186556613,3
8186868406,3
8187546833,3
8187584823,3
8188022025,3
